[Thu May 04 21:33:41.393318 2023] [mpm_winnt:notice] [pid 12544:tid 792] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu May 04 21:33:41.393318 2023] [mpm_winnt:notice] [pid 12544:tid 792] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu May 04 21:33:41.393318 2023] [core:notice] [pid 12544:tid 792] AH00094: Command line: 'C:\\Users\\Manu\\Documents\\GitHub\\GIP/apache2/bin/httpd_usbwv8.exe -d C:/Users/Manu/Documents/GitHub/GIP/apache2'
[Thu May 04 21:33:41.395318 2023] [mpm_winnt:notice] [pid 12544:tid 792] AH00418: Parent: Created child process 9084
[Thu May 04 21:33:41.774884 2023] [mpm_winnt:notice] [pid 9084:tid 792] AH00354: Child: Starting 64 worker threads.
[Thu May 04 21:34:05.964629 2023] [:error] [pid 9084:tid 1288] [client 127.0.0.1:49981] PHP Notice:  Undefined index: userid in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\functions.inc.php on line 272, referer: http://localhost:8080/
[Thu May 04 21:34:05.965129 2023] [:error] [pid 9084:tid 1288] [client 127.0.0.1:49981] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\functions.inc.php on line 274, referer: http://localhost:8080/
[Thu May 04 22:56:03.145472 2023] [:error] [pid 9084:tid 1296] [client 127.0.0.1:51587] PHP Notice:  Undefined variable: _SESSION in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\shoppingCard.inc.php on line 3, referer: http://localhost:8080/pages/shoppingCard.php?referentieNummer=85
[Thu May 04 22:56:03.145472 2023] [:error] [pid 9084:tid 1296] [client 127.0.0.1:51587] PHP Notice:  Undefined variable: conn2 in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\shoppingCard.inc.php on line 7, referer: http://localhost:8080/pages/shoppingCard.php?referentieNummer=85
[Thu May 04 22:56:03.145472 2023] [:error] [pid 9084:tid 1296] [client 127.0.0.1:51587] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\shoppingCard.inc.php on line 7, referer: http://localhost:8080/pages/shoppingCard.php?referentieNummer=85
[Thu May 04 22:57:37.233481 2023] [:error] [pid 9084:tid 1300] [client 127.0.0.1:51620] PHP Notice:  Undefined variable: conn2 in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\shoppingCard.inc.php on line 7, referer: http://localhost:8080/pages/shoppingCard.php
[Thu May 04 22:57:37.233481 2023] [:error] [pid 9084:tid 1300] [client 127.0.0.1:51620] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\includes\\shoppingCard.inc.php on line 7, referer: http://localhost:8080/pages/shoppingCard.php
[Thu May 04 23:13:21.670706 2023] [:error] [pid 9084:tid 1276] [client 127.0.0.1:51983] PHP Notice:  Undefined variable: _SESSION in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\pages\\checkout.php on line 2, referer: http://localhost:8080/pages/shoppingCard.php
[Thu May 04 23:13:21.670706 2023] [:error] [pid 9084:tid 1276] [client 127.0.0.1:51983] PHP Notice:  Undefined index: totaal in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\pages\\checkout.php on line 3, referer: http://localhost:8080/pages/shoppingCard.php
[Thu May 04 23:13:21.670706 2023] [:error] [pid 9084:tid 1276] [client 127.0.0.1:51983] PHP Notice:  Undefined variable: conn2 in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\pages\\checkout.php on line 5, referer: http://localhost:8080/pages/shoppingCard.php
[Thu May 04 23:13:21.670706 2023] [:error] [pid 9084:tid 1276] [client 127.0.0.1:51983] PHP Notice:  Undefined variable: _SESSION in C:\\Users\\Manu\\Documents\\GitHub\\GIP\\root\\pages\\checkout.php on line 5, referer: http://localhost:8080/pages/shoppingCard.php
